amount,sender_name,sender_ref
132,"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",https://d-nb.info/gnd/116258659
129,Jacoba van Heemskerck,https://d-nb.info/gnd/11854764X
129,"Popowitsch, Johann Siegmund Valentin",https://d-nb.info/gnd/119362589
129,Ernst Wagner,https://d-nb.info/gnd/11709501X
129,"Sartorius, Johann Georg",https://d-nb.info/gnd/104202092
126,"Heister, Lorenz",https://d-nb.info/gnd/118800310
125,"Jungermann, Joachim",https://d-nb.info/gnd/117238325
125,Johann Wilhelm Ludwig Gleim,https://d-nb.info/gnd/118717758
124,Albrecht von Preußen,https://d-nb.info/gnd/118637673
123,"Lantier, Étienne-François de",https://d-nb.info/gnd/124441866
123,Carl Wilhelm Saegert,https://d-nb.info/gnd/141376139
123,Emil du Bois-Reymond,https://d-nb.info/gnd/118527665
120,"Mayer, Johann Siegfried Wilhelm",https://d-nb.info/gnd/117546046
120,"Peucer, Caspar",https://d-nb.info/gnd/118790676
118,August Hermann Francke,https://d-nb.info/gnd/118534688
115,Caroline Herder,https://d-nb.info/gnd/118549561
115,"Hofmannsthal, Gerty von",https://d-nb.info/gnd/116952199
113,"Hesse, Adolph",https://d-nb.info/gnd/118704133
113,Stanisław Lubieniecki,https://d-nb.info/gnd/119357100
112,"Bilger, Johann Friedrich",https://d-nb.info/gnd/123572894
112,Auguste Du Vau (Duvau),https://d-nb.info/gnd/116258780
112,"Harding, Carl Ludwig",https://d-nb.info/gnd/116474580
111,Franz Pirker,https://d-nb.info/gnd/138363803
110,"Schlesinger, Adolph Martin",https://d-nb.info/gnd/118608096
110,"Dehmel, Ida",https://d-nb.info/gnd/118679228
109,Christian Friedrich Tieck,https://d-nb.info/gnd/118757490
109,Karl Leonhard Reinhold,https://d-nb.info/gnd/118599410
108,"Lang, Viktor",https://d-nb.info/gnd/116687177
107,Johann von Brandenburg-Küstrin,https://d-nb.info/gnd/102111553
107,"Brucker, Johann Jakob",https://d-nb.info/gnd/116725966
106,"Strauss, Richard",https://d-nb.info/gnd/11861911X
106,"Barner, Jakob",https://d-nb.info/gnd/173070450
106,Friedrich de La Motte-Fouqué,https://d-nb.info/gnd/118534556
105,Johann Heinrich Merck,https://d-nb.info/gnd/118581015
104,Johann Georg Zimmermann,https://d-nb.info/gnd/118636979
104,"Meyerbeer, Giacomo",https://d-nb.info/gnd/118581945
103,Paul Klee,https://d-nb.info/gnd/118562827
103,Georg Andreas Reimer,https://d-nb.info/gnd/118831194
103,Eugen Deimel,https://d-nb.info/gnd/124896847
102,"Beurer, Johann Ambrosius",https://d-nb.info/gnd/136960308
100,Friedrich Wilhelm Riemer,https://d-nb.info/gnd/116543671
100,"Schreck, Friedrich Theodor",https://d-nb.info/gnd/121624579
100,"Rümker, Carl Ludwig Christian",https://d-nb.info/gnd/100553966
99,Botho Laserstein,https://d-nb.info/gnd/119035197
99,"Dassel, Hartwig von",https://d-nb.info/gnd/1013383427
98,Philipp Joseph von Rehfues,https://d-nb.info/gnd/116392576
97,"Gänsbacher, Johann",https://d-nb.info/gnd/118814044
97,Cölestin Christian Flottwell,https://d-nb.info/gnd/121862135
97,"Büchner, Andreas Elias",https://d-nb.info/gnd/117052124
97,Philipp Erasmus Reich,https://d-nb.info/gnd/118809334
95,"Richter, Max",https://d-nb.info/gnd/116512636
93,Karl Sigmund Franz Freiherr vom Stein zum Altenstein,http://d-nb.info/gnd/11862783X
92,"Feuerlein, Georg Christoph",https://d-nb.info/gnd/14103498X
91,Prinz August von Sachsen-Gotha und Altenburg,https://d-nb.info/gnd/118849794
91,"Andreas-Salomé, Lou",https://d-nb.info/gnd/118502921
90,"Thurot, Jean-François",https://d-nb.info/gnd/117627445
88,"Hartmann, Friedrich",https://d-nb.info/gnd/1035104040
87,"Waldor, Mélanie, geb. Villenave",https://d-nb.info/gnd/136882862
85,Albertine Ida Gustavine de Broglie,https://d-nb.info/gnd/173169228
85,Caroline von Schelling,https://d-nb.info/gnd/118607049
84,"Lienau, Robert",https://d-nb.info/gnd/117003689
84,Sophie Bernhardi,https://d-nb.info/gnd/118973665
84,"Nicolai, Bernhard",https://d-nb.info/gnd/116995629
84,"Stadel, Eberhard Friedrich",https://d-nb.info/gnd/122306406
83,Georg von Carlowitz,https://d-nb.info/gnd/135708028
83,Hermann von Helmholtz,https://d-nb.info/gnd/11854893X
82,"Hauptmann, Carl",https://d-nb.info/gnd/118546910
82,Johanna Christiane Erdmuthe Schlegel,https://d-nb.info/gnd/1019578068
81,"Stoius, Matthias",https://d-nb.info/gnd/119840596
81,"Weber, Franz Anton von",https://d-nb.info/gnd/117158542
81,"Mendelssohn Bartholdy, Felix",https://d-nb.info/gnd/118580779
81,Heinrich Voß,https://d-nb.info/gnd/100689590
80,Clara Schumann,https://d-nb.info/gnd/11861164X
