url,lat,long,name,country_code
https://sws.geonames.org/3066759/,49.18232,16.38787,Rosice,CZ
https://sws.geonames.org/2872887/,53.58355,13.67499,Matzdorf,DE
https://sws.geonames.org/2825186/,54.63333,9.78333,Süderbrarup,DE
https://sws.geonames.org/2987914/,42.69764,2.89541,Perpignan,FR
https://sws.geonames.org/3166499/,45.49744,10.60507,Sirmione,IT
https://sws.geonames.org/2864225/,49.6025,8.51639,Neuschloß,DE
https://sws.geonames.org/2756987/,52.255,6.16389,Deventer,NL
https://sws.geonames.org/3132176/,63.79332,11.4817,Verdal,NO
https://sws.geonames.org/2753106/,52.555,5.91111,Kampen,NL
https://sws.geonames.org/2842531/,52.39734,9.26791,Sachsenhagen,DE
https://sws.geonames.org/2762303/,47.33333,11.68333,Vomp,AT
https://sws.geonames.org/2874544/,52.14167,11.64444,Landeshauptstadt Magdeburg,DE
https://sws.geonames.org/3149412/,58.8693,9.41494,Kragerø,NO
https://sws.geonames.org/2852422/,48.58383,11.08762,Pöttmes,DE
https://sws.geonames.org/2661429/,46.94991,6.83757,Boudry,CH
https://sws.geonames.org/3096799/,53.76921,19.37439,Kamieniec,PL
https://sws.geonames.org/3575830/,15.5,-61.33333,Dominica,DM
https://sws.geonames.org/2660008/,46.45312,6.85856,La Tour-de-Peilz,CH
https://sws.geonames.org/2854509/,53.43259,7.09556,Pewsum,DE
https://sws.geonames.org/3170943/,40.62806,14.41729,Piano di Sorrento,IT
https://sws.geonames.org/2913922/,51.94987,14.71447,Guben,DE
https://sws.geonames.org/11776293/,-34.61251,138.71449,Buchfelde,AU
https://sws.geonames.org/3081368/,51.1,17.03333,Wroclaw,PL
https://sws.geonames.org/2837470/,50.59465,12.64139,Schneeberg,DE
https://sws.geonames.org/3074149/,49.14404,15.00301,Jindřichův Hradec,CZ
https://sws.geonames.org/2643743/,51.50853,-0.12574,London,GB
https://sws.geonames.org/2871854/,49.13705,8.7702,Menzingen,DE
https://sws.geonames.org/3061344/,48.8555,16.0488,Znojmo,CZ
