amount,lat_y,long_y,name_y,country_code_y
18,50.35357,7.57883,Koblenz,DE
18,48.7606,8.23975,Baden-Baden,DE
17,53.09972,12.89885,Rheinsberg,DE
17,48.85122,10.48868,Nördlingen,DE
17,50.0374,11.9994,Wunsiedel,DE
17,50.40164,11.83543,Venzka,DE
17,52.6069,11.85867,Stendal,DE
17,5.84206,-55.17632,Oldenburg,SR
17,48.76508,11.42372,Ingolstadt,DE
16,53.33235,13.09548,Strelitz Alt,DE
16,51.79901,4.74159,Gemeente Dordrecht,NL
16,53.7972,12.17337,Güstrow,DE
16,49.96459,12.70118,Mariánské Lázně,CZ
16,45.81667,8.93333,Valmorea,IT
15,51.6669,6.62037,Wesel,DE
15,55.75222,37.61556,Moscow,RU
15,43.77925,11.24626,Florence,IT
15,48.2082,16.37169,Vienna,AT
15,46.83649,13.52346,Seeboden,AT
14,46.73901,11.63749,Vahrn,IT
14,48.73961,9.30473,Esslingen am Neckar,DE
14,50.68322,10.91858,Ilmenau,DE
14,40.69149,-73.80569,Jamaica,US
14,51.78843,11.15006,Quedlinburg,DE
14,51.12821,12.80295,Colditz,DE
14,50.16214,11.84349,Sparneck,DE
14,52.15833,4.49306,Leiden,NL
14,50.8634,12.18666,Ronneburg,DE
14,47.06592,7.09717,La Neuveville,CH
14,50.43664,8.885,Utphe,DE
13,51.23367,12.71959,Grimma,DE
13,46.92436,7.41457,Köniz,CH
13,32.73333,129.88333,Dejimamachi,JP
13,47.58559,8.06741,Laufenburg (Baden),DE
13,47.14303,6.8922,La Ferrière,CH
13,52.54463,11.97647,Tangermünde,DE
13,46.6992,13.98892,Steindorf am Ossiacher See,AT
13,46.63639,14.14639,Pörtschach am Wörthersee,AT
13,50.99198,11.35027,Tiefurt,DE
13,50.64833,12.56477,Wiesenburg,DE
13,52.3475,14.5539,Frankfurt (Oder),DE
13,46.69724,9.43938,Thusis,CH
12,51.75222,-1.25596,Oxford,GB
12,50.55162,9.67518,Fulda,DE
12,49.57953,10.61126,Neustadt an der Aisch,DE
12,47.9959,7.85222,Freiburg im Breisgau,DE
12,48.95274,10.60465,Oettingen in Bayern,DE
12,51.99607,13.07979,Jüterbog,DE
12,53.42894,14.55302,Szczecin,PL
12,47.44299,8.67362,Lindau,CH
12,50.06143,19.93658,Krakow,PL
12,51.83948,10.79082,Wernigerode,DE
11,52.2279,11.00985,Helmstedt,DE
11,50.94161,6.95864,"Cologne, Urban District",DE
11,51.93855,8.87318,Detmold,DE
11,50.74114,8.28699,Dillenburg,DE
11,46.20917,16.41917,Varaždinske Toplice,HR
11,47.38946,8.48533,Zürich (Kreis 9) / Altstetten,CH
11,53.58878,12.08855,Goldberg,DE
11,46.94141,7.39131,Bümpliz,CH
10,49.20007,11.33032,Freystadt,DE
10,50.7364,11.74619,Neustadt an der Orla,DE
10,51.45984,12.63338,Eilenburg,DE
10,50.13423,8.91418,Hanau,DE
10,47.66033,9.17582,Konstanz,DE
10,51.30001,13.10984,Oschatz,DE
10,51.15518,14.98853,Görlitz,DE
10,53.80908,8.90068,Otterndorf,DE
10,47.42391,9.37477,Saint Gallen,CH
10,48.76667,14.86667,Höhenberg,AT
10,51.68692,13.22016,Herzberg,DE
9,49.13995,9.22054,Heilbronn,DE
9,51.05007,12.79754,Rochlitz,DE
9,51.05798,13.29652,Nossen,DE
9,55.6711,12.56529,Copenhagen,DK
9,51.34198,12.37498,Leipzig,DE
9,48.30639,14.28611,Linz,AT
9,55.95206,-3.19648,Edinburgh,GB
9,50.08258,8.24932,Wiesbaden,DE
9,50.052,12.1801,Arzberg,DE
9,50.56109,8.50495,Wetzlar,DE
9,51.9225,4.47917,Rotterdam,NL
9,50.48438,8.26249,Weilburg,DE
9,47.78198,9.61062,Ravensburg,DE
8,50.91743,14.15494,Bad Schandau,DE
8,50.33333,18.93333,Silesia,PL
8,50.42553,10.73184,Hildburghausen,DE
8,47.64224,15.8241,Semmering,AT
8,47.5,19.03333,Buda,HU
8,52.5511,13.19921,Spandau,DE
8,47.61667,13.78333,Obertressen,AT
8,50.32717,13.54577,Žatec,CZ
8,51.18035,14.43494,Bautzen,DE
8,51.0,13.25,Saxony,DE
8,51.27904,1.07992,Canterbury,GB
8,50.66784,12.60886,Wildenfels,DE
8,52.09083,5.12222,Utrecht,NL
8,39.66086,-92.78436,Wien,US
8,47.49193,8.55371,Winkel,CH
8,50.3402,10.77869,Bad Rodach,DE
8,51.66077,12.92353,Prettin,DE
8,51.11074,15.58582,Gmina Lwówek Śląski,PL
8,54.58655,13.10559,Kloster,DE
8,47.7,10.86667,Steingaden,DE
8,48.1951,7.31938,Ribeauvillé,FR
8,48.40481,12.06632,Halberstätt,DE
8,48.85339,2.34864,Paris,FR
8,50.84048,10.95198,Arnstadt,DE
8,48.54252,16.76136,Zistersdorf,AT
8,51.78826,6.13865,Kleve,DE
8,48.35149,8.96317,Hechingen,DE
8,50.53348,14.1318,Litoměřice,CZ
7,52.42,13.75437,Erkner,DE
7,52.45905,13.01582,Brandenburg,DE
7,46.75774,12.10556,Welsberg-Taisten,IT
7,45.38333,12.35,Lido,IT
7,50.89014,15.19036,Lázně Libverda,CZ
7,51.58656,10.66326,Ellrich,DE
7,44.3496,9.22796,Rapallo,IT
7,51.21006,16.1619,Legnica,PL
7,50.6404,13.82451,Teplice,CZ
7,48.44858,18.91003,Banská Štiavnica,SK
7,47.69732,8.63493,Schaffhausen,CH
7,47.98372,10.18527,Memmingen,DE
7,51.90425,10.42766,Goslar,DE
7,50.12033,12.35174,Františkovy Lázně,CZ
7,50.65051,13.16122,Marienberg,DE
7,51.64205,15.13727,Żary,PL
7,52.40692,16.92993,Poznan,PL
7,53.16118,12.48287,Wittstock,DE
7,53.58334,10.08305,Wandsbek,DE
7,51.15447,10.83873,Bad Tennstedt,DE
7,48.89731,9.19161,Ludwigsburg,DE
7,52.07667,4.29861,The Hague,NL
7,48.99976,8.47432,Durlach,DE
7,51.34217,11.34028,Kalbsrieth,DE
7,52.52003,13.40489,Mitte,DE
7,50.85045,4.34878,Brussels,BE
7,49.98922,9.57223,Lohr a. Main,DE
7,45.4299,10.98444,Verona,IT
7,48.80537,9.52721,Schorndorf,DE
7,49.24686,7.36977,Zweibrücken,DE
7,52.11457,8.67343,Herford,DE
7,47.69255,15.80915,Edlach an der Rax,AT
7,49.29175,21.27271,Bardejov,SK
6,50.9686,11.90207,Eisenberg,DE
6,40.6501,-73.94958,Brooklyn,US
6,50.4973,12.13782,Plauen,DE
6,50.42648,10.90695,Eisfeld,DE
6,48.88854,11.19675,Eichstätt,DE
6,41.85003,-87.65005,Chicago,US
6,52.56926,13.40186,Pankow,DE
6,54.52156,9.5586,Schleswig,DE
6,49.03685,8.70745,Bretten,DE
6,45.19205,9.15917,Pavia,IT
6,43.83665,4.35788,Nîmes,FR
6,47.995,16.05991,Weissenbach an der Triesting,AT
6,48.34507,8.40197,Alpirsbach,DE
6,53.34855,18.4251,Chełmno,PL
6,50.85332,4.35144,Brussels Capital,BE
6,48.8048,9.2145,Bad Cannstatt,DE
6,50.23557,11.71589,Helmbrechts,DE
6,46.06787,11.12108,Trento,IT
6,51.35609,11.09977,Bad Frankenhausen,DE
6,54.13244,21.68244,Sztynort,PL
6,52.22977,21.01178,Warsaw,PL
6,48.90617,8.50412,Karlsbad,DE
6,50.42482,9.1984,Gedern,DE
